"愛","あい","love, affection, care; attachment, craving, desire; agape; Ireland"
"相談","そうだん","consultation, discussion, discussing, asking (someone) for advice"
"装置","そうち","equipment, device, installation, apparatus; stage setting"
"相当","そうとう","corresponding to (in meaning, function, etc.), being equivalent to; appropriate, suitable, befitting, proportionate; to be proportionate to, to be in keeping with, to be deserving of, to be worthy of; considerable, substantial; considerably, rather, quite, fairly, pretty"
"速度","そくど","speed, velocity, pace, rate; velocity"
"底","そこ","bottom, sole"
"其処で","そこで","so, accordingly, now, then, thereupon, therefore"
"組織","そしき, そしょく","organization, organisation, formation; structure, construction, setup, constitution; system (e.g. railroad, transport, party, etc.); tissue; texture (of a rock); weave (of a fabric)"
"而して","そして, しかして","and, and then, thus, and now, and finally"
"注ぐ","そそぐ","to pour (into); to sprinkle on (from above), to water (e.g. plants), to pour onto, to spray; to shed (tears); to concentrate one's energy (strength, attention, etc.) on, to devote to, to fix (one's eyes) on; to flow into (e.g. of a river), to run into, to drain into; to fall (of rain, snow), to pour down"
"育つ","そだつ","to be raised (e.g. child), to be brought up, to grow (up)"
"","そっくり","all, altogether, entirely, completely; exactly alike (e.g. in appearance), spitting image of, identical, strikingly similar"
"率土","そっと, そつど","ends of the earth, outer reaches, borderland"
"袖","そで","sleeve; wing (of a stage, desk, gate, etc.); flap (of a dust jacket)"
"備える","そなえる","to furnish with, to equip with, to provide, to install; to prepare for, to make preparations for, to make provision for; to possess (all that is needed), to be endowed with, to be equipped with; to be born with, to have since birth"
"其の","その, そん","that, the; part (as in ""part two""); um ..., er ..., uh ..."
"その内","そのうち","before very long, soon, someday, one of these days, sooner or later; of the previously mentioned, of that number, among them, among others"
"其のまま","そのまま, そのまんま","without change, as is; just like, extremely similar; immediately, just after, without a pause"
"側","そば, そく, はた","near, close, beside, vicinity, proximity, besides, while; third person"
"","ソファ, ソファー","sofa, couch"
"粗末","そまつ","crude, rough, plain, humble, shabby, poor-quality, low-quality"
"其れ","それ","that, it; then, that point (in time), that time; there; you"
"其れ其れ","それぞれ","each, respectively"
"其れでも","それでも","but (still), and yet, nevertheless, even so, notwithstanding"
"其れと","それと","and then, in addition to that, also, even so"
"其れとも","それとも","or, or else"
"損","そん","loss, damage, harm, unprofitable; disadvantage, handicap, drawback, unfavorable"
"損害","そんがい","damage, injury, loss"
"尊敬","そんけい","respect, esteem, reverence, honour, honor"
"存在","そんざい","existence, being, presence"
"尊重","そんちょう","respect, esteem, regard"
"象","ぞう, ゾウ","elephant (Elephantidae spp.)"
"増加","ぞうか","increase, rise, growth, addition, increment"
"田","た","rice field"
"他","た","other (esp. people and abstract matters)"
"対","たい","versus, against, vs., v.; to (e.g. score of 4 to 2, ratio of 3 to 1, vote of 320 to 180); toward ..., to ..., with ..., against ..., anti-; equal footing, equal terms; opposite"
"体育","たいいく, たいく","physical education, PE, gym (class)"
"体温","たいおん","body temperature"
"大会","たいかい","mass meeting, convention, rally, conference, assembly, gathering; tournament, competition, contest, meet; grand event"
"大気","たいき","atmosphere, air; magnanimity, generosity"
"退屈","たいくつ","tedious, boring, dull, uninteresting, tiresome, monotonous; to feel bored, to get bored (with), to get tired (of)"
"滞在","たいざい","stay, sojourn"
"大使","たいし","ambassador"
"大した","たいした","considerable, great, important, significant, a big deal"
"対象","たいしょう","target, object (of worship, study, etc.), subject (of taxation, etc.), coverage"
"対する","たいする","to face (each other), to be facing; to be directed toward (the future, etc.), to be in response to, to be related to; to receive (a client, etc.); to compare with, to contrast with, to be in opposition with, to be opposed to; to confront, to oppose, to compete with"
"大戦","たいせん","great war, great battle; world war"
"大抵","たいてい","mostly, ordinarily, usually, generally; probably; most, almost all; ordinary; proper, appropriate, moderate"
"態度","たいど","attitude, manner, behaviour, demeanour, bearing; attitude (towards an issue, etc.), position, stance, stand"
"大半","たいはん","majority, more than half, most (of); mostly, largely, mainly, predominately, nearly"
"","タイプライター, タイプライタ","typewriter"
"大変","たいへん","very, greatly, terribly, awfully; immense, enormous, great; serious, grave, dreadful, terrible; difficult, hard, challenging; major incident, disaster"
"逮捕","たいほ","arrest, apprehension, capture"
"太陽","たいよう","Sun"
"平ら","たいら","flat, level, even, smooth; calm, tranquil, placid, composed, stable; relaxed (sitting posture), comfortable; plateau, tableland, plain"
"大陸","たいりく","continent; continental Asia (esp. mainland China); continental Europe"
"倒す","たおす","to throw down, to bring down, to blow down, to fell, to knock down, to set (something) down on its side, to turn (something) on its side, to recline (e.g. a seat); to kill, to defeat, to beat; to overthrow, to trip up, to ruin; to leave unpaid, to cheat; to do completely, to do thoroughly, to do to the fullest"
"手折る","たおる","to break by hand (e.g. a flower), to break off (a twig), to pluck (a flower, a bud); to make a young woman one's own thing"
"宝","たから","treasure"
"互い","たがい","each other, one another"
"宅","たく","house, home; one's house, one's home; one's husband"
"確かめる","たしかめる","to make sure, to check, to ascertain, to confirm, to verify"
"多少","たしょう","a little, some, somewhat, slightly, to some degree, to some extent; amount, quantity, number"
"助ける","たすける","to save, to rescue, to spare; to help, to assist; to support (financially), to contribute (to), to provide aid; to facilitate, to stimulate, to promote, to contribute to"
"戦い","たたかい","battle, war, fight, conflict; fight (against time, poverty, etc.), struggle (for freedom, survival, etc.), war (e.g. on drugs), battle (e.g. against nature); contest, competition, match, game"
"戦う","たたかう","to make war (on), to wage war (against), to go to war (with), to fight (with), to do battle (against); to compete (against); to struggle (against adversities, etc.), to fight, to contend, to resist"
"叩く","たたく","to strike, to hit, to beat, to knock, to pound, to bang, to slap, to spank, to tap, to pat, to clap (one's hands), to play (the drums); to attack, to bash, to criticize, to censure, to flame (on the Internet); to sound out (someone's views); to pound (meat or fish), to chop into small pieces; to beat down the price; to talk (big, bad, idly, etc.); to call, to invoke (e.g. a function)"
"只","ただ, タダ","ordinary, common, usual; free of charge; unaffected, as is, safe; only, merely, just, simply; but, however, nevertheless"
"直ちに","ただちに","at once, immediately, right away, without delay; directly (face, lead to, etc.), automatically (mean, result in, etc.)"
"立ち上がる","たちあがる","to stand up, to get up, to rise (to one's feet); to recover, to regain one's energy, to rise; to (stand up and) take action, to rise up (against), to start (doing); to rise (from a crouch) and make the initial charge; to start up, to boot up; to be established, to be set up, to be formed, to be created; to rise (of steam, smoke, etc.)"
"立場","たちば","position, situation; viewpoint, standpoint, point of view"
"達する","たっする","to reach, to get to, to arrive at"
"","たっぷり","plentifully, amply, abundantly, copiously, generously, fully, a lot; loosely, with room to spare, with enough space, (large) enough; a good (e.g. two weeks, ten kilometres), a full, at least, no less than"
"経つ","たつ","to pass (of time), to elapse"
"縦","たて, タテ","the vertical, height; front-to-back, length; north-to-south; vertical (relationship), hierarchy; (weaving) warp"
"例え","たとえ","example; simile, metaphor, allegory, fable, parable"
"谷","たに","valley"
"他人","たにん, ひと, あだびと","another person, other people, others; unrelated person (i.e. not related by blood); outsider, stranger"
"種","たね, タネ","seed (e.g. of a plant), pip, kernel, stone (e.g. of a peach); progeny, offspring, issue, breed; paternal blood, lineage; sperm, semen, seed; cause, source, seed, origin; material (e.g. for an article), matter (e.g. of a story), subject (of discussion), theme, (news) copy, source (of a story); ingredient, main ingredient (of a piece of sushi), leaven; mechanism (of a magic trick, etc.), secret, trickery; 10-point card, tane, animal card"
"束","たば","bundle, bunch, sheaf"
"旅","たび","travel, trip, journey"
"度","たび, たんび","time (three times, each time, etc.), times"
"度々","たびたび","often, again and again, over and over again, repeatedly, frequently"
"多分","たぶん","probably, likely, perhaps, maybe; a lot of, much, many, considerable, large (amount), generous"
"偶","たま","occasional, infrequent, rare"
"玉","たま","ball, sphere, globe, orb; bead (of sweat, dew, etc.), drop, droplet; ball (in sports), pitch (e.g. in baseball); pile (of noodles, etc.); bullet; bulb (i.e. a light bulb); lens (of glasses, etc.); bead (of an abacus); ball (i.e. a testicle); gem, jewel (esp. spherical; sometimes used figuratively), pearl; female entertainer (e.g. a geisha); person (when commenting on their nature), character; item, funds or person used as part of a plot; egg; okonomiyaki; coin; precious, beautiful, excellent"
"偶々","たまたま","by chance, by accident, accidentally, happen to (be, do), unexpectedly, casually; occasionally, once in a while, now and then"
"堪らない","たまらない","intolerable, unbearable, unendurable; irresistible, tremendous, out of this world; cannot help (doing), cannot but do, anxious to do, cannot get enough of"
"試し","ためし","trial, test"
"試す","ためす","to try (out), to have a try (at), to test, to put to the test"
"便り","たより, だより","news, tidings, information, correspondence, letter"
"頼る","たよる","to rely on, to depend on, to count on, to turn to (for help)"
"単位","たんい","unit, denomination; credit (in school); in units of (e.g. ""in thousands""), in amounts of"
"単語","たんご","word, vocabulary"
"単純","たんじゅん","simple, plain, uncomplicated, straightforward, simple-minded, naive"
"誕生","たんじょう","birth, creation, formation"
"担当","たんとう","being in charge (of an area of responsibility), being responsible (for a work role, etc.)"
"単なる","たんなる","mere, simple, sheer"
"単に","たんに","simply, merely, only, solely"
"大","だい","large, big, great, huge, vast, major, important, serious, severe; great, prominent, eminent, distinguished; -sized, as big as, the size of; university; large (e.g. serving size), large option; long month (i.e. having 31 days)"
"題","だい","title, subject, theme, topic; problem (on a test), question; counter for questions (on a test)"
"台","だい","stand, rest, base, pedestal, platform, table, holder, support, rack; setting (of a gem), mounting; stock (in grafting); counter for machines and vehicles; level (e.g. price level), mark, range, decade (of one's life); tall building (with a fine view), (observation) platform; plateau, heights"
"代金","だいきん","price, cost, charge, payment, bill, fee"
"大臣","だいじん","cabinet minister"
"大統領","だいとうりょう","president (of a country); big man, boss, buddy, mate"
"代表","だいひょう","representation, representative, delegate, delegation; exemplification, typification, being representative of, being typical of, representative example, exemplar, model; leader; switchboard number, main number"
"大部分","だいぶぶん","most part, greater part, majority"
"","ダイヤ, ダイア","(railway) schedule, timetable; diagram"
"代理","だいり","representation, agency, proxy; proxy, agent, representative, deputy, substitute, surrogate, stand-in"
"","だから","so, therefore, accordingly, consequently, on those grounds, that is why, for that reason; like I said, I told you already"
"","だが","but, however, (and) yet, nevertheless, still, for all that"
"","だけど","but, however, although"
"","だって","after all, because; but; even; too, as well, also; they say, I hear, you mean"
"黙る","だまる","to be silent, to say nothing"
"駄目","だめ, ダメ, だーめ","no good, not serving its purpose, useless, broken; hopeless, wasted, in vain, purposeless; cannot, must not, not allowed; neutral point, intersection owned by neither player at the end of a game; no!, stop!"
"誰か","だれか","someone, somebody"
"段","だん","step, stair, rung, (flight of) steps; shelf, layer, tier; grade, level, class; dan (degree of advanced proficiency in martial arts, go, shogi, etc.), rank; paragraph, passage; column (of print); act (in kabuki, joruri, etc.), section, scene; row of the multiplication table (e.g. five times table); stage (in a process), phase, occasion, time, moment, situation; matter, occasion; degree, extent; counter for breaks in written language or speech"
"男子","だんし","boy; man, male"
"","ダンス","dance, dancing"
"団体","だんたい","group, party, team; organization, organisation, association, group, body, society"
"地","ち","earth, ground, land, soil; place; territory; bottom (of a package, book, etc.); earth (one of the five elements)"
"地位","ちい","(social) position, status, standing; position (in a company, organization, etc.), post, rank"
"地域","ちいき","area, region, district, locality"
"知恵","ちえ","wisdom, wit, sagacity, sense, intelligence; prajna (insight leading to enlightenment)"
"地下","ちか","underground, below the ground; world of the dead, the grave; underground (activities, movement, etc.), secret, illegal, in hiding"
"近頃","ちかごろ","lately, recently, nowadays; terribly, awfully, extremely"
"違い","ちがい","difference, distinction, discrepancy; mistake, error"
"違いない","ちがいない","sure, no mistaking it, for certain, without doubt"
"地球","ちきゅう","Earth, the globe"
"地区","ちく","district, area, zone, quarter, section, region"
"遅刻","ちこく","lateness, tardiness, arriving late"
"知識","ちしき","knowledge, information"
"知事","ちじ","prefectural governor"
"父親","ちちおや, てておや","father"
"知能","ちのう","intelligence, intellect, brains"
"地平線","ちへいせん","horizon (related to land)"
"地方","ちほう","district, region, area, locality; the country, countryside, the provinces, rural area; civilian society"
"茶","ちゃ","tea; tea plant (Camellia sinensis); tea preparation, making tea; brown; mockery"
"","チャンス","chance, opportunity"
"","ちゃんと","diligently, seriously, earnestly, reliably, steadily, legitimately; perfectly, properly, exactly, orderly, punctually, regularly, safely, in good condition; sufficiently, satisfactorily; quickly"
"注","ちゅう","annotation, explanatory note, comment"
"中","ちゅう","medium (size), average (grade, level, etc.), middle; in, within, out of (e.g. ten people), among; during, while, in (the course of), within (a period), throughout; currently (doing), in the process of, in the middle of, under (e.g. construction, investigation); middle way, moderation; second volume (of three); junior high school, middle school; China"
"中央","ちゅうおう","centre, center, middle, heart; capital, seat of government"
"中学","ちゅうがく","junior high school, middle school, lower secondary school"
"中古","ちゅうこ, ちゅうぶる","used, second-hand, old; Middle Ages (in Japan esp. Heian period)"
"中止","ちゅうし","interruption, discontinuance, suspension, stoppage; cancellation (of a planned event), calling off"
"駐車","ちゅうしゃ","parking (a vehicle)"
"昼食","ちゅうしょく","lunch, midday meal"
"中心","ちゅうしん","center, centre, middle, heart, core, focus, pivot, emphasis, balance; -centered, -centred, -focused, -oriented, centered on, focused on"
"注目","ちゅうもく","notice, attention, observation"
"注文","ちゅうもん","order (for an item); request, demand, condition"
"長期","ちょうき","long-term"
"調査","ちょうさ","investigation, examination, inquiry, enquiry, survey"
"調子","ちょうし","tune, tone, key, pitch, time, rhythm; vein, mood, way, manner, style, knack; condition, state of health, shape; impetus, spur of the moment, strain; trend"
"頂上","ちょうじょう","top, summit, peak"
"頂戴","ちょうだい, ちょーだい","receiving, getting, accepting, being given; eating, drinking, having; please (give me; do for me)"
"貯金","ちょきん","putting money aside, savings, deposit (e.g. in a bank); accumulated surplus of wins, wins in the bank"
"直接","ちょくせつ","direct, immediate, personal, firsthand"
"著者","ちょしゃ","author (usu. of a particular book), writer"
"","チーズ","cheese; tee (piping), T-joint; cheese (said when taking a photograph)"
"","チーム, ティーム","team"
"遂に","ついに","finally, in the end, at last; in the end, after all, never (happened)"
"通過","つうか","passing through (a tunnel, station, town, etc.), passing by (e.g. of a typhoon), transit; passage (of a bill, e.g. through parliament), carriage; passing (an examination, inspection, etc.), clearing, getting through (a preliminary round), qualification"
"通学","つうがく","commuting to school, school commute"
"通行","つうこう","passage (of people or vehicles), passing (through), traffic; common usage, widespread use"
"通信","つうしん","correspondence, communication, transmission, news, signal, telecommunications"
"通じる","つうじる","to be open (to traffic), to lead to, to communicate (with); to flow (liquid, current), to pass, to get through to; to be understood, to be comprehended; to be honored, to be good; to be well versed in, to be well-informed; to communicate clandestinely, to keep in touch (e.g. with the enemy); to form a liaison, to be intimate; to spread widely, to disseminate"
"捕まる","つかまる","to be caught, to be arrested; to hold on to, to grasp; to find (e.g. proof), to get (e.g. a taxi); to be detained by"
"掴む","つかむ","to seize, to catch, to grasp, to grip, to grab, to clutch, to hold, to catch hold of, to lay one's hands on; to obtain, to acquire, to get, to win, to capture; to understand, to grasp, to comprehend"
"疲れ","つかれ","tiredness, fatigue"
"付き合い","つきあい","association, socializing, socialising, fellowship"
"月","つき","Moon; month; moonlight; (a) moon, natural satellite"
"次々","つぎつぎ","in succession, one by one"
"就く","つく","to take (seat, position, course, office, etc.), to assume, to be hired, to be employed; to ascend (the throne), to accede; to start (on a journey), to commence, to depart; to study (under teacher), to be an apprentice"
"注ぐ","つぐ","to pour (into a vessel), to fill (a cup, bowl, etc.) with, to dish out (food or drink)"
"付ける","つける","to attach, to join, to connect, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment), to put against; to furnish (a house with); to wear, to put on; to keep a diary, to make an entry; to appraise, to set (a price); to allot, to budget, to assign; to bring alongside; to place (under guard or doctor); to follow (someone), to shadow, to tail, to stalk; to load, to give (courage to); to keep (an eye on); to establish (relations or understanding); to turn on (a light); to produce flowers (of a plant), to produce fruit; to do intensely, to do fiercely, to do strongly; to be used to (doing), to be accustomed to"
"土","つち, つし","earth, soil, dirt, clay, mud; the earth (historically, esp. as opposed to the heavens), the ground, the land; low-quality torinoko-gami (containing mud); (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō)"
"包み","つつみ","bundle, package, parcel; counter for wrapped objects"
"続き","つづき","continuation, rest (of the story, work, etc.), next installment, sequel; flow (e.g. of a piece of writing), pacing (of a story); succession (of), sequence, series, spell, stretch, streak, run"
"勤め","つとめ","service, duty, business, responsibility, task; Buddhist religious services"
"繋ぐ","つなぐ","to connect, to link together; to tie, to fasten, to restrain; to maintain, to preserve, to keep; to transfer (phone call), to put a person through; to hedge, to buy or sell forward"
"常に","つねに","always, constantly"
"翼","つばさ, よく","wing; Chinese ""Wings"" constellation (one of the 28 mansions); counter for birds or bird wings"
"詰まり","つまり","that is to say, that is, in other words, I mean, that (this, it) means; in short, in brief, to sum up, ultimately, in the end, in the long run, when all is said and done, what it all comes down to, when you get right down to it, basically; clogging, obstruction, stuffing, (degree of) blockage; shrinkage; end, conclusion; dead end, corner; distress, being at the end of one's rope"
"罪","つみ","crime, sin, wrongdoing, indiscretion; penalty, sentence, punishment; fault, responsibility, culpability; thoughtlessness, lack of consideration"
"詰める","つめる","to stuff into, to jam, to cram, to pack, to fill, to plug, to stop up; to shorten, to move closer together; to reduce (spending), to conserve; to focus intently on, to strain oneself to do; to go through thoroughly, to work out (details), to bring to a conclusion, to wind up; to be on duty, to be stationed; to corner (esp. an opponent's king in shogi), to trap, to checkmate; to cut off (one's finger as an act of apology), to catch (one's finger in a door, etc.); to do non-stop, to do continuously, to keep doing (without a break); to do completely, to do thoroughly; to force someone into a difficult situation by ..."
"積もる","つもる","to pile up, to accumulate; to estimate"
"梅雨","つゆ, ばいう","(East Asian) rainy season (in Japan, usu. from early June to mid-July); rain during the rainy season"
"辛い","つらい, ツライ, ツラい","painful, bitter, heart-breaking, difficult (emotionally); tough, difficult, hard (usu. of situations); cruel, harsh, cold"
"釣り","つり","fishing, angling; change (for a purchase); clickbaiting; trolling, bait, making deliberately inflammatory posts online"
"連れ","つれ, ツレ","companion, company; tritagonist, second supporting character"
"提案","ていあん","proposal, proposition, suggestion"
"定期","ていき","fixed period, fixed term; regular, periodic, periodical; fixed-term commuter pass; fixed-term deposit; futures contracts"
"抵抗","ていこう","resistance, opposition, standing up to; reluctance, repulsion, repugnance; resistance, drag, friction; electrical resistance; resistor"
"提出","ていしゅつ","presentation (of documents), submission (of an application, report, etc.), production (e.g. of evidence), introduction (e.g. of a bill), filing, turning in"
"程度","ていど","degree, amount, grade, standard, of the order of (following a number), about, approximately"
"停留所","ていりゅうじょ","stop (bus, tram, etc.), station, stopping place"
"敵","てき","opponent, rival, adversary; menace, danger, threat, enemy"
"適する","てきする","to fit, to suit"
"適切","てきせつ","appropriate, suitable, fitting, apt, proper, right, pertinent, relevant"
"適度","てきど","moderate (degree), proper (amount), temperate, suitable"
"適用","てきよう","application (of a rule, law, method, etc.)"
"手品","てじな","magic (illusion), conjuring, magic trick, conjuring trick, sleight of hand"
"徹底","てってい","thoroughness, completeness, consistency; thorough enforcement, seeing to it that a policy, etc. is carried out without exception"
"鉄","てつ","iron (Fe); steel; iron (will, discipline, lady, etc.); railway; railway enthusiast"
"哲学","てつがく","philosophy"
"手伝い","てつだい","helper, assistant; help, assistance"
"鉄道","てつどう","railroad, railway, rail transport"
"徹夜","てつや","staying up all night"
"手間","てま","time, labour, labor"
"典型","てんけい","type, pattern, model, epitome, exemplar, archetype, perfect example"
"天候","てんこう","weather"
"","テント","tent"
"天然","てんねん","nature, spontaneity; natural airhead"
"出","で","coming out, going out, outflow, efflux, rising (of the Sun or the Moon); attending (work), appearing (on stage), one's turn to go on; start, beginning; origins, background, person (or item) originating from ..., graduate of ..., native of ..., member of ... (lineage); architectural member that projects outward; highest point of the stern of a ship; amount (comprising something), amount of time or effort required to do something"
"出会い","であい","meeting, rendezvous, encounter; meeting for the first time, coming across; confluence"
"出会う","であう","to meet (by chance), to come across, to run across, to encounter, to happen upon; to meet (e.g. of rivers, highways, etc.); to emerge and engage (an enemy)"
"出来事","できごと","occurrence, happening, incident, event"
"出切る","できる","to be out of, to have no more at hand"
"出来るだけ","できるだけ","as much as one can, as much as possible, if at all possible"
"出来れば","できれば","if possible"
"","ですから","so, therefore, accordingly, consequently, on those grounds, that is why, for that reason"
"出端","では","chance of going out, opportunity (to succeed); musical accompaniment for an actor going on stage"
"","デモ","demonstration, protest; (giving a) demo, demonstration, presentation"
"","でも","but, however, though, nevertheless, still, yet, even so, also, as well; even; however, no matter how, even if, even though; ... or something; either ... or ..., neither ... nor ...; pseudo-, quack, in-name-only; for lack of anything better to do"
"電子","でんし","electron; electronic"
"伝統","でんとう","tradition, convention"
"","デート, デイト","date (with someone), (social) outing (for two), date night; date (day)"
"問い","とい","question, query"
"党","とう","party (political); person who is fond of, fan of"
"塔","とう","tower, steeple, spire; stupa, pagoda, dagoba"
"答案","とうあん","examination paper, examination script, answer sheet; answer (to an exam question)"
"当時","とうじ","at that time, in those days"
"到着","とうちゃく","arrival"
"投票","とうひょう","voting, ballot, poll, vote"
"通す","とおす","to stick through, to force through; to spread throughout, to thoroughly diffuse; to make a path between two points; to proceed in a logical manner; to let pass, to allow through; to lead (someone) into (a house, room, etc.), to show in; to go through (a middleman); to (look, listen) through (a window, wall, etc.); to pass (a law, applicant, etc.); to force to accept, to force agreement; to continue (in a state), to persist in; to do to the entirety of, to cover all of, to span the whole ...; to do from beginning to end without a break; to convey (one's ideas, etc.) to the other party; to do to the end, to carry through, to complete"
"通り","とおり","street, road, avenue, thoroughfare; traffic, coming and going; flow (of water, air, etc.), passage, running; transmission (of sound), reach (of voice); reputation, favor, favour, popularity; understanding, comprehension, comprehensibility, clarity; the same way (as), as (follows, stated, expected, etc.); counter for sets of things; counter for methods, ways, kinds, etc."
"通り過ぎる","とおりすぎる","to go past, to pass, to pass by"
"都会","とかい","city; Tokyo Metropolitan Assembly"
"時","とき","time, hour, moment; occasion, case; chance, opportunity, season; the times, the age, the day; tense"
"解く","とく","to untie, to unfasten, to unwrap, to undo, to unbind, to unpack; to unsew, to unstitch; to solve, to work out, to answer; to dispel (misunderstanding, etc.), to clear up, to remove (suspicion), to appease; to dissolve (a contract), to cancel, to remove (a prohibition), to lift (a ban), to raise (a siege); to release (from duty), to relieve, to dismiss; to comb (out), to card, to untangle (hair)"
"得意","とくい","satisfaction, pride, triumph, elation; one's strong point, one's forte, one's specialty; regular customer, regular client, patron"
"特徴","とくちょう","feature, trait, characteristic, peculiarity, distinction"
"解ける","とける","to be solved, to be resolved; to loosen, to come untied, to come undone; to be removed (of restrictions), to be lifted (e.g. a ban), to be broken (spells, curses, etc.); to dissipate (of anger, tension, etc.), to melt away, to ease, to be appeased, to be resolved (of a dispute, misunderstanding, etc.), to be cleared up"
"所が","ところが","even so, however, still, whereupon, even though, nevertheless, on the contrary, as a matter of fact, despite"
"所で","ところで","by the way, incidentally, well, now; even if, no matter (what, where, how, etc.)"
"登山","とざん","mountain climbing, mountaineering, ascent of a mountain"
"都市","とし","town, city, municipal, urban"
"年月","としつき, ねんげつ","months and years"
"図書","としょ, ずしょ","books"
"年寄り","としより","old person, elderly person, senior citizen; trustee of the Japan Sumo Association, retired high-ranking wrestler who is licensed to coach and receives retirement pay; senior statesman (of the Tokugawa shogunate); important local official (under the Tokugawa Shogunate)"
"閉じる","とじる","to close (e.g. book, eyes, meeting, etc.), to shut"
"途端","とたん","just (now, at the moment, etc.), just as, in the act of, as soon as, at the moment that"
"土地","とち, どおじ, どじ, どち","plot of land, lot, soil; locality, region, place"
"","トップ","top; top position; senior management, senior bureaucrat; home page (of a website)"
"突然","とつぜん","abrupt, sudden, unexpected"
"届く","とどく","to reach, to touch, to get to, to carry (of sound); to be delivered, to arrive; to be attentive, to be scrupulous, to be thorough; to be realized (of a desire), to be fulfilled, to get through (to someone), to be appreciated, to make an impression"
"兎に角","とにかく","anyway, anyhow, at any rate, in any case, at least, just; setting aside ..., regardless of ...; really, truly, certainly, definitely, undeniably"
"飛ばす","とばす","to let fly, to make fly, to send flying, to blow off (e.g. in the wind), to launch, to fire, to hurl, to shoot; to skip over, to leave out, to omit, to drop (e.g. a stitch), to fast-forward; to run fast, to drive fast, to gallop; to spray, to splash, to spatter; to say without reservation, to call out (e.g. a jeer), to rattle off (e.g. a joke); to spread (e.g. a rumour), to circulate, to send out (a message), to issue (e.g. an appeal); to transfer (to a less important post), to send away (e.g. to a provincial branch), to demote; to dispatch quickly (e.g. a reporter); to get rid of, to burn off (alcohol); to attack (e.g. with a leg manoeuvre); to do vigorously, to do roughly, to do energetically"
"飛び出す","とびだす","to jump out, to leap out, to fly out, to run out, to rush out, to bolt out; to appear (suddenly), to emerge, to come out; to protrude, to project, to jut out, to stick out; to leave (a company, one's hometown, etc.), to run away (from home), to cut ties with; to start flying"
"止める","とめる","to stop, to turn off; to park; to prevent, to suppress (a cough), to hold back (tears), to hold (one's breath), to relieve (pain); to stop (someone from doing something), to dissuade, to forbid, to prohibit; to notice, to be aware of, to concentrate on, to pay attention to, to remember, to bear in mind; to fix (in place), to fasten, to tack, to pin, to nail, to button, to staple; to detain, to keep in custody"
"友","とも","friend, companion, comrade, pal; accompaniment, companion (e.g. book), complement, accessory"
"共に","ともに","together, jointly; at the same time, with, as ..., including, along with; both"
"虎","とら, トラ","tiger (Panthera tigris); drunkard, drunk, sot"
"","トラック","truck, lorry"
"","トランプ, トラムプ","(Western) playing cards"
"取り上げる","とりあげる","to pick up; to adopt (a proposal), to take up (a topic), to accept, to listen to; to take issue with, to make a problem of, to bring up (as a point of criticism); to report (news), to cover, to feature; to take away, to confiscate, to deprive (someone) of, to revoke, to disqualify, to cancel; to deliver (a baby); to collect (taxes)"
"取れる","とれる","to come off (of a button, handle, lid, etc.); to go away (of a fever, pain, swelling, etc.), to disappear, to come out (of a stain), to come off (e.g. of dust), to be removed (e.g. of wrinkles); to be harvested, to be picked, to be produced, to be caught (of fish), to be obtained, to be extracted; to be interpreted (as), to be taken (as), to be understood (as), to be read (as); to be attained (of balance, harmony, etc.), to be achieved; to be able to get, to be able to obtain, to be able to secure, to be able to win, to be able to catch"
"とんでも無い","とんでもない","unthinkable, unexpected, absurd, outrageous, preposterous, terrible; absolutely not!, far from it!, impossible!, preposterous!, what a thing to say!, no way!; (it was) no bother at all, not at all, don't mention it"
"","トンネル","tunnel; to tunnel (through a potential barrier); letting a grounder go through one's legs"
"度","ど","degree (angle, temperature, scale, etc.); counter for occurrences; strength (of glasses), glasses prescription; alcohol content (percentage), alcohol by volume; extent, degree, limit; presence of mind, composure"
"同一","どういつ","identical, same, one and the same, equal; fair, equal treatment, without discrimination"
"銅貨","どうか","copper coin"
"動詞","どうし","verb"
"如何しても","どうしても","by all means, at any cost, no matter what, at any rate, surely; whether (one is) willing or not, willingly or unwillingly, willy-nilly; on no account, by no means; in the end, in the long run, after all, eventually"
"同時","どうじ","same time; simultaneous, concurrent, synchronous"
"道徳","どうとく","morals, morality"
"同様","どうよう","same, similar, (just) like, equal"
"同僚","どうりょう","coworker, co-worker, colleague, associate"
"道路","どうろ","road, highway"
"毒","どく","poison, toxicant; harm, evil influence; ill will, spite, malice; abusive language"
"読書","どくしょ, とくしょ","reading (books)"
"独身","どくしん","unmarried, single"
"独特","どくとく","peculiarity, uniqueness, characteristic; understood only by oneself"
"独立","どくりつ","independence, self-reliance, supporting oneself, being on one's own; independence (e.g. of a nation), freedom; separation, isolation"
"何処か","どこか, どっか","somewhere; in some respects, in some way"
"土曜","どよう","Saturday"
"","ドライブ","drive, trip by car, driving; to (go for a) drive, to go on a trip by car; to drive (e.g. a car); to drive (innovation, change, etc.), to propel; drive"
"","ドラマ","(non-documentary) television series, TV drama, teledrama, play; drama, dramatic incident, spectacle, tragedy"
"努力","どりょく","effort, exertion, endeavour, endeavor, hard work, striving"
"何れ","どれ","which (of three or more); well, now, c'mon"
"","ドレス","dress"
"泥","どろ","mud, (wet) dirt; thief; Android (mobile operating system)"
"","どんな","what kind of, what sort of, what; no matter what (kind of), whatever, any, all"
